Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood,Zip.Code
2.018E+13,8/17/18,1000,8/22/18,2015,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+13,8/23/18,1146,8/23/18,1302,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+13,8/26/18,1430,8/26/18,1848,THEFT-BUILDING,THEFT-BUILDING,EAST,G,G2,FIRST HILL,98122
2.018E+13,8/23/18,1340,8/30/18,1356,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+13,8/30/18,1100,8/30/18,1650,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E2,FIRST HILL,98122
2.018E+13,8/30/18,1900,8/31/18,1314,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+13,9/1/18,1800,9/2/18,1341,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+13,8/16/18,1,9/4/18,1409,CAR PROWL,THEFT-AUTOACC,EAST,G,G1,FIRST HILL,98122
2.018E+13,9/3/18,645,9/4/18,1617,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+13,9/6/18,2335,9/7/18,1349,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,9/7/18,1140,9/7/18,1626,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,9/11/18,1840,9/12/18,954,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,9/14/18,0,9/15/18,144,THEFT-ALL OTHER,THEFT-PKPOCKET,EAST,E,E2,FIRST HILL,98122
2.018E+13,9/15/18,2230,9/16/18,1159,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E2,FIRST HILL,98122
2.018E+13,9/19/18,805,9/19/18,820,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,9/22/18,1100,9/22/18,1237,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+13,9/28/18,1010,9/28/18,1053,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,9/28/18,935,9/30/18,1340,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E2,FIRST HILL,98122
2.018E+13,10/5/18,100,10/5/18,1011,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+13,10/4/18,730,10/5/18,1158,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+13,10/6/18,1900,10/7/18,1013,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+13,10/7/18,1210,10/7/18,1730,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,10/8/18,1354,10/9/18,1827,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,10/13/18,1720,10/15/18,1009,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,10/24/18,2300,10/25/18,703,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,10/27/18,245,10/27/18,1807,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E3,FIRST HILL,98122
2.018E+13,10/28/18,420,10/28/18,1626,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,10/25/18,828,10/31/18,1255,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E3,FIRST HILL,98122
2.018E+13,11/1/18,1515,11/1/18,1652,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,11/1/18,1323,11/2/18,2129,THEFT-ALL OTHER,THEFT-PKPOCKET,EAST,G,G1,FIRST HILL,98122
2.018E+13,11/2/18,1730,11/5/18,1115,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+13,11/5/18,1745,11/6/18,1358,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E3,FIRST HILL,98122
2.018E+13,11/2/18,2245,11/6/18,1614,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E2,FIRST HILL,98122
2.018E+13,11/6/18,615,11/7/18,644,CAR PROWL,THEFT-CARPROWL,EAST,E,E2,FIRST HILL,98122
2.018E+13,11/5/18,2040,11/6/18,2344,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E3,FIRST HILL,98122
2.018E+13,11/10/18,1700,11/10/18,2310,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+13,10/26/18,1000,11/13/18,1521,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,11/13/18,1732,11/13/18,2110,THEFT-BICYCLE,THEFT-BICYCLE,EAST,G,G1,FIRST HILL,98122
2.018E+13,7/4/18,830,11/15/18,839,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G1,FIRST HILL,98122
2.018E+13,11/15/18,1600,11/16/18,815,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+13,11/16/18,1100,11/16/18,1301,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,11/16/18,1640,11/16/18,1657,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,11/17/18,2305,11/18/18,1146,CAR PROWL,THEFT-CARPROWL,EAST,G,G1,FIRST HILL,98122
2.018E+13,11/16/18,2000,11/18/18,1417,THEFT-BICYCLE,THEFT-BICYCLE,EAST,G,G1,FIRST HILL,98122
2.018E+13,11/13/18,1000,11/21/18,11,THEFT-BICYCLE,THEFT-BICYCLE,EAST,G,G2,FIRST HILL,98122
2.018E+13,11/19/18,1000,11/22/18,1920,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E3,FIRST HILL,98122
2.018E+13,11/23/18,1,11/23/18,1344,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,11/21/18,1520,11/21/18,1527,THEFT-BICYCLE,THEFT-BICYCLE,EAST,E,E2,FIRST HILL,98122
2.018E+13,11/23/18,1635,11/23/18,1850,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,11/24/18,2130,11/25/18,850,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
2.018E+13,11/24/18,1900,11/25/18,2116,CAR PROWL,THEFT-CARPROWL,EAST,E,E3,FIRST HILL,98122
